ID,UPC,c__baseSku,brand,c__configurableProduct,c__fuelType,c__ignitionType,c__isDiscontinued,c__isSharedVariationProduct,c__isStepVariationProduct,manufacturerSKU,name__default,c__parentSku,c__productCategory,c__productTypeNonoperative,c__series,c__seriesNumber,c__sku,c__skuLP,c__skuNG,c__style,c__unitSku,c__ventType,variants,variationGroups,productSets
sv8fa,778272746819,,Superior,,,,TRUE,,,SV8FA,Superior Secure Vent Roof Flashing 1/12-7/12 | SV8FA |,,Venting Components,Product,,,SV8FA,,,,,,,,
sv8fb,778272746826,,Superior,,,,TRUE,,,SV8FB,Superior Secure Vent Roof Flashing 7/12-12/12 | SV8FB |,,Venting Components,Product,,,SV8FB,,,,,,,,
sv8hf,997850714273,,Superior,,,,TRUE,,,SV8HF,Superior Secure Vent Horizontal Firestop | SV8HF |,,Venting Components,Product,,,SV8HF,,,,,,,,
sv8htr,43593068163,,Superior,,,,TRUE,,,SV8HTR,Superior Secure Vent Horizontal Termination | SV8HTR |,,Venting Components,Product,,,SV8HTR,,,,,,,,
sv8l12,778272746734,,Superior,,,,TRUE,,,SV8L12,"Superior Secure Vent 12"" Rigid Direct Vent Pipe | SV8L12 |",,Venting Components,Product,,,SV8L12,,,,,,,,
sv8l24,778272746741,,Superior,,,,TRUE,,,SV8L24,"Superior Secure Vent 24"" Rigid Direct Vent Pipe | SV8L24 |",,Venting Components,Product,,,SV8L24,,,,,,,,
sv8l36,778272746758,,Superior,,,,TRUE,,,SV8L36,"Superior Secure Vent 36"" Rigid Direct Vent Pipe | SV8L36 |",,Venting Components,Product,,,SV8L36,,,,,,,,
sv8l48,778272746765,,Superior,,,,TRUE,,,SV8L48,"Superior Secure Vent 48"" Rigid Direct Vent Pipe | SV8L48 |",,Venting Components,Product,,,SV8L48,,,,,,,,
sv8l6,778272746727,,Superior,,,,TRUE,,,SV8L6,"Superior Secure Vent 6"" Rigid Direct Vent Pipe | SV8L6 |",,Venting Components,Product,,,SV8L6,,,,,,,,
sv8la,778272746772,,Superior,,,,TRUE,,,SV8LA,Superior Secure Vent Telescopic Section | SV8LA |,,Venting Components,Product,,,SV8LA,,,,,,,,
sv8sp,778272746888,,Superior,,,,TRUE,,,SV8SP,Superior Secure Vent Support Plate | SV8SP |,,Venting Components,Product,,,SV8SP,,,,,,,,
sv8su,778272746840,,Superior,,,,TRUE,,,SV8SU,Superior Secure Vent Support Strap | SV8SU |,,Venting Components,Product,,,SV8SU,,,,,,,,
sv8vtr,778272746864,,Superior,,,,TRUE,,,SV8VTR,Superior Secure Vent Vertical Termination | SV8VTR |,,Venting Components,Product,,,SV8VTR,,,,,,,,
szcsb,629169048892,,Napoleon,,,,,,TRUE,SZCSB,Napoleon Black Safety Barrier for Inspiration GZ | SZCSB |,GDIZC-NSB,Safety Barriers,Variation Product,,,SZCSB,,,,,,,,
t81-bcsb,629169049592,,Napoleon,,,,TRUE,,,T81-BCSB,Napoleon Brushed Copper Faceplate | T81-BCSB |,,Decorative Fronts,Product,,,T81-BCSB,,,,,,,,
t81-bnsb,,,Napoleon,,,,TRUE,,,T81-BNSB,Napoleon Brushed Nickel Faceplate | T81-BNSB |,,Decorative Fronts,Product,,,T81-BNSB,,,,,,,,
tb336k,629169018529,,Napoleon,,,,,TRUE,TRUE,TB336K,"Napoleon Black 3"" Beveled Trim Kit | TB336K |","GVF36-2N,GVF36-2P",Trim Kits,Variation Product,,,TB336K,,,,,,,,
tb636k,629169018901,,Napoleon,,,,,TRUE,TRUE,TB636K,"Napoleon Black 6"" Bevelled Trim Kit | TB636K |","GVF36-2N,GVF36-2P",Trim Kits,Variation Product,,,TB636K,,,,,,,,
tb636ss,,,Napoleon,,,,TRUE,,TRUE,TB636SS,"Napoleon Brushed Stainless Steel 3"" Bevelled Trim Kit | TB636SS |",GVF36,Trim Kits,Variation Product,,,TB636SS,,,,,,,,
tfb,,,Napoleon,,,,TRUE,,,TFB,Napoleon TFB Steel Blue Torch Frame/Front | TFW |,,Decorative Fronts,Product,,,TFB,,,,,,,,
tfk,,,Napoleon,,,,TRUE,,,TFK,Napoleon Painted Metallic Black Torch Frame/Front | TFK |,,Decorative Fronts,Product,,,TFK,,,,,,,,
tfk8sb,629169050833,,Napoleon,,,,,TRUE,TRUE,TFK8SB,Napoleon Metallic Black Surround | TFK8SB |,"GT8NSB,GT8PSB,GVFT8N,GVFT8P",Decorative Surrounds,Variation Product,,,TFK8SB,,,,,,,,
tfp,,,Napoleon,,,,TRUE,,,TFP,Napoleon Diamond Dust Torch Frame/Front | TFP |,,Decorative Fronts,Product,,,TFP,,,,,,,,
tfr,,,Napoleon,,,,TRUE,,,TFR,Napoleon Red Torch Frame/Front | TFR |,,Decorative Fronts,Product,,,TFR,,,,,,,,
tfss,,,Napoleon,,,,TRUE,TRUE,TRUE,TFSS,Napoleon Brushed Stainless Steel Surround | TFSS |,"WHVF31N, GVFT8",Trim Kits,Variation Product,,,TFSS,,,,,,,,
tfss8sb,629169049684,,Napoleon,,,,,TRUE,TRUE,TFSS8SB,Napoleon Brushed Stainless Steel Torch Frame/Front Complete with Safety Barrier | TFSS8SB |,"GT8NSB,GT8PSB,GVFT8N,GVFT8P",Decorative Fronts,Variation Product,,,TFSS8SB,,,,,,,,
tfw,,,Napoleon,,,,TRUE,,,TFW,Napoleon White Torch Frame/Front | TFW |,,Decorative Fronts,Product,,,TFW,,,,,,,,
th-wtc_lp,,,Modern Flames,,,,,TRUE,TRUE,TH-WTC/LP,Modern Flames Thermostat & Full Wall Control | TH-WTC/LP |,"LPM-5616, LPM-7816, LPM-4216, LPM-6816",Remote Controls,Variation Product,,,TH-WTC/LP,,,,,,,,
tk3-33bl,43593058966,,Superior,,,,,,TRUE,TK3-33BL,Superior Black 3-Piece Trim Kit | TK3-33BL |,MPE-33-3,Trim Kits,Variation Product,,,TK3-33BL,,,,,,,,
tk3-33bs,43593058867,,Superior,,,,,,TRUE,TK3-33BS,Superior Stainless 3-Piece Trim Kit | TK3-33BS |,MPE-33-3,Trim Kits,Variation Product,,,TK3-33BS,,,,,,,,
tk3-33pb,43593058973,,Superior,,,,TRUE,,,TK3-33PB,Superior Brass 3-Piece Trim Kit | TK3-33PB |,,Trim Kits,Product,,,TK3-33PB,,,,,,,,
tk3-36bl,43593058836,,Superior,,,,,,TRUE,TK3-36BL,Superior Black 3-Piece Trim Kit | TK3-36BL |,MPE-36-3,Trim Kits,Variation Product,,,TK3-36BL,,,,,,,,
tk3-36bs,43593058850,,Superior,,,,,,TRUE,TK3-36BS,Superior Stainless 3-Piece Trim Kit | TK3-36BS |,MPE-36-3,Trim Kits,Variation Product,,,TK3-36BS,,,,,,,,
tm-3,80956959713,,Skytech,,,,,,,TM-3,Skytech Systems Wired Wall Mounted Timer | TM-3 |,,Remote Controls,Product,,,TM-3,,,,,,,,
tm_r2-a,,,Skytech,,,,,,,TM/R2-A,Skytech Systems Battery Operated Timer Wireless Wall Mounted Remote | TM/R2-A |,,Remote Controls,Product,,,TM/R2-A,,,,,,,,
